"","sensor_index","pm2.5_cf_1_a","latitude","longitude"
"545",82609,9.167,34.135338,-118.50378
"546",82731,1.981,33.813015,-118.37645
"547",82755,7.418,33.74202,-117.44635
"548",82917,21.816,33.458466,-117.66664
"549",83011,15.546,34.16229,-118.69748
"550",83041,31.753,34.179882,-118.17776
"551",83051,4.462,34.059498,-118.610344
"552",83081,10.52,34.142887,-118.61397
"553",83089,6.75,34.075016,-118.3376
"554",83117,4.066,34.194973,-118.113556
"555",83173,6.492,34.157257,-118.78595
"556",83211,6.879,33.545757,-117.78801
"557",83227,11.741,33.777584,-118.36014
"558",83311,30.435,34.194347,-118.11403
"559",83417,15.957,34.168556,-118.03021
"560",83465,6.357,34.06741,-118.46436
"561",83603,10.777,33.742966,-117.819176
"562",83647,53.505,34.122124,-118.153534
"563",83727,28.584,34.179607,-118.28067
"564",83747,10.735,33.7237,-117.82643
"565",83895,27.697,34.102646,-118.222694
"566",84069,12.154,34.14787,-118.56422
"567",84075,16.167,34.151688,-117.66096
"568",84093,22.325,34.157837,-118.0621
"569",84101,9.983,34.07158,-118.55788
"570",84107,42.948,33.790733,-118.103004
"571",84137,6.19,34.06528,-118.436424
"572",84177,2.45,34.190872,-118.75315
"573",84313,1.449,34.11403,-118.77404
"574",84319,10.67,33.746918,-118.331535
"575",84323,37.656,34.18091,-118.647896
"576",84335,11.376,33.876095,-118.36251
"577",84439,6.89,34.017452,-118.436905
"578",8444,4.452,33.953423,-117.696915
"579",84755,4.332,34.088524,-118.595566
"580",84949,6.117,33.679512,-117.82306
"581",85007,15.908,34.147575,-117.69554
"582",85069,18.45,33.593903,-117.719505
"583",85253,22.899,34.15546,-118.0743
"584",85359,11.392,34.121635,-118.32282
"585",85373,30.651,34.17278,-118.22332
"586",85431,5.986,33.722904,-118.31272
"587",85471,7.171,34.24147,-118.236046
"588",85559,37.68,34.084427,-118.6924
"589",85621,17.041,33.859295,-118.3872
"590",85645,5.313,34.26045,-118.33701
"591",85743,18.677,34.248375,-117.18275
"592",85791,3.313,33.601517,-117.86439
"593",85829,24.235,34.182762,-118.19539
